strain,upper_kx_dirac_coarse,upper_ky_dirac_coarse,lower_kx_dirac_coarse,lower_ky_dirac_coarse,coarse_dirac_periodic_distance,coarse_dirac_shift_m,coarse_dirac_shift_n,upper_kx_dirac,upper_ky_dirac,lower_kx_dirac,lower_ky_dirac,fine_dirac_periodic_distance,fine_dirac_shift_m,fine_dirac_shift_n,e_fermi,lower_min_gap,lower_min_gap_coarse,relax_fermi_energy,relaxed_c1_vec,relaxed_c2_vec,time_taken,upper_min_gap,upper_min_gap_coarse
0.0,-0.3278688524590164,0.5868151302319814,0.3278688524590164,-0.5868151302319814,0.6560106975073315,-1,1,-0.333869,0.576815,0.333869,-0.576815,0.6652040023833871,-1,0,-1.5995,0.021471448518339376,0.31553160246706646,-1.5995,"[0.0, 0.0, 0.0]","[0.333333, 0.333333, 0.0]",146.58600306510925,0.021471448589740705,0.3155316028324917
10.0,-0.2786885245901639,0.6457399444577835,0.2786885245901639,-0.6457399444577834,0.5573770491803415,0,1,-0.280689,0.64574,0.280689,-0.64574,0.5613780000000002,0,1,-2.1076,0.020752606738953405,0.17403317702929577,-2.1077,"[-0.0017970255, 0.0036381574, 0.0]","[0.3351300255, 0.3296948426, 0.0]",70.03546571731567,0.02075260676461288,0.17403317356287928
15.0,-0.2459016393442623,0.6808026076173243,0.2459016393442623,-0.6808026076173243,0.4918032786885435,0,1,-0.239902,0.680803,0.239902,-0.680803,0.47980400000043816,0,1,-2.1496,0.007724905045862762,0.11133602336797477,-2.1498,"[-0.0016816354, 0.0034472951, 0.0]","[0.3350146354, 0.3298857049, 0.0]",40.66777181625366,0.007724905045519037,0.11133602333313553
20.0,-0.180327868852459,0.7164635499968508,0.180327868852459,-0.7164635499968508,0.3606557377049472,0,1,-0.182328,0.716464,0.182328,-0.716464,0.3646560000007813,0,1,-2.2372,0.0030907397994686114,0.02687829529619634,-2.2375,"[-0.0010198049, 0.0021462531, 0.0]","[0.3343528049, 0.3311867469, 0.0]",225.90874075889587,0.0030907398007835596,0.026878295284924025
22.0,-0.1475409836065574,0.7308990591265746,0.1475409836065574,-0.7308990591265746,0.2950819672131805,0,1,-0.151541,0.730899,0.151541,-0.730899,0.30308200000001023,0,1,-2.1874,0.004368863796994749,0.03568262494722996,-2.1877,"[-0.0006377873, 0.0013816802, 0.0]","[0.3339707873, 0.3319513198, 0.0]",216.37973928451538,0.004368863833452252,0.03568262493846541
24.0,-0.1147540983606558,0.7454335054987453,0.1147540983606557,-0.7454335054987453,0.22950819672131173,0,1,-0.108754,0.745434,0.108754,-0.745434,0.217508000002295,0,1,-2.1682,0.0013227489108644797,0.0441199318085741,-2.1684,"[-0.0001785521, 0.0004531982, 0.0]","[0.3335115521, 0.3328798018, 0.0]",216.9912657737732,0.001322748933794582,0.04411993182825036
26.0,-0.04918032786885251,0.7600682575164248,0.04918032786885246,-0.7600682575164248,0.09836065573770715,0,1,-0.02118,0.772068,0.02118,-0.772068,0.048686177552891716,0,1,-2.3153,0.002206505850229412,0.0026325521429866328,-2.3156,"[0.000111559, -0.000140724, 0.0]","[0.333221441, 0.333473724, 0.0]",210.69956612586975,0.0022065064002929624,0.0026325523254353556
26.1,-0.04918032786885251,0.7608026518908128,0.04918032786885246,-0.7608026518908128,0.09836065573770529,0,1,-0.01718,0.774803,0.01718,-0.774803,0.04432435164236517,0,1,-2.3275,0.00019994739578077514,0.014132784483996463,-2.3275,"[0.000112, -0.000141, 0.0]","[0.333221, 0.333474, 0.0]",196.21972107887268,0.00019994732304340346,0.014132784743356996
26.2,-0.03278688524590168,0.7740215175843039,0.03278688524590164,-0.7740215175843039,0.07016653350385736,0,1,0.007213,0.778022,-0.007213,-0.778022,0.035987375547690124,0,1,-2.3396,0.0007057166185626684,0.016899274138506115,-2.3398,"[0.0001157539, -0.000157001, 0.0]","[0.3332172461, 0.333490001, 0.0]",207.39628839492798,0.0007057168889152976,0.016899274302055733
26.3,-0.03278688524590168,0.7497758110141046,0.03278688524590164,-0.7497758110141046,0.0701751915012354,0,1,-0.022787,0.777776,0.022787,-0.777776,0.05512224376181276,0,1,-2.3519,0.0004068633244940223,0.0010946769585498117,-2.3519,"[0.000116, -0.000157, 0.0]","[0.333217, 0.33349, 0.0]",197.68832564353943,0.00040686400996747807,0.0010946768479906943
26.4,-0.03278688524590168,0.750498913925479,0.03278688524590164,-0.750498913925479,0.07018377495192954,0,1,-0.030787,0.748499,0.030787,-0.748499,0.0680685330570156,0,1,-2.3642,0.00030479086617374307,0.01874470084503388,-2.3644,"[0.0001161044, -0.0001635835, 0.0]","[0.3332168956, 0.3334965835, 0.0]",208.23096585273743,0.0003047908856061987,0.018744700684155013
26.5,-0.03278688524590168,0.7512222663650567,0.03278688524590164,-0.7512222663650567,0.07019236859167903,0,1,-0.052787,0.759222,0.052787,-0.759222,0.1059604544434022,0,1,-2.3765,0.0003534031697314255,0.03573941088572585,-2.3767,"[0.0001250003, -0.0001772004, 0.0]","[0.3332079997, 0.3335102004, 0.0]",209.02972388267517,0.00035340290697583043,0.03573941079018805
27.0,-0.01639344262295084,0.7422620567241219,0.01639344262295082,-0.7422620567241219,0.060061511319518604,0,1,-0.050393,0.780262,0.050393,-0.780262,0.10400538353681944,0,1,-2.4387,0.00035025013764578006,0.00656372628456614,-2.4389,"[0.0001097271, -0.0001520626, 0.0]","[0.3332232729, 0.3334850626, 0.0]",212.4874451160431,0.00035024984727183295,0.006563726110651036
