strain,upper_kx_dirac_coarse,upper_ky_dirac_coarse,lower_kx_dirac_coarse,lower_ky_dirac_coarse,coarse_dirac_periodic_distance,coarse_dirac_shift_m,coarse_dirac_shift_n,upper_kx_dirac,upper_ky_dirac,lower_kx_dirac,lower_ky_dirac,fine_dirac_periodic_distance,fine_dirac_shift_m,fine_dirac_shift_n,e_fermi,lower_min_gap,lower_min_gap_coarse,relax_fermi_energy,relaxed_c1_vec,relaxed_c2_vec,time_taken,upper_min_gap,upper_min_gap_coarse
0.0,-0.3278688524590164,0.5868151302319814,0.3278688524590164,-0.5868151302319814,0.6560106975073315,-1,1,-0.333869,0.576815,0.333869,-0.576815,0.6652040023833871,-1,0,-1.5995,0.021471448518340708,0.3155316024670578,-1.5995,"[0.0, 0.0, 0.0]","[0.333333, 0.333333, 0.0]",124.19757509231567,0.021471448589707842,0.31553160283250237
10.0,-0.2786885245901639,0.6457399444577835,0.2786885245901639,-0.6457399444577834,0.5696082986634528,0,1,-0.280689,0.64574,0.280689,-0.64574,0.5735239523520612,0,1,-2.1076,0.02075260673891899,0.02157982033257655,-2.1077,"[-0.0017970255, 0.0036381574, 0.0]","[0.3351300255, 0.3296948426, 0.0]",172.81945157051086,0.020752606764605774,0.02157982037467643
15.0,-0.2459016393442623,0.6808026076173243,0.2459016393442623,-0.6808026076173243,0.5228885392106091,0,1,-0.239902,0.680803,0.239902,-0.680803,0.5116191128908032,0,1,-2.1496,0.007724905045893848,0.11133602336790993,-2.1498,"[-0.0016816354, 0.0034472951, 0.0]","[0.3350146354, 0.3298857049, 0.0]",178.1669840812683,0.007724905045478181,0.11133602333304982
20.0,-0.180327868852459,0.7164635499968508,0.180327868852459,-0.7164635499968508,0.43255989293094493,0,1,-0.182328,0.716464,0.182328,-0.716464,0.43590128246047016,0,1,-2.2372,0.0030907397994588415,0.0268782952961657,-2.2375,"[-0.0010198049, 0.0021462531, 0.0]","[0.3343528049, 0.3311867469, 0.0]",178.54958605766296,0.003090739800865272,0.026878295284929354
22.0,-0.1475409836065574,0.7308990591265746,0.1475409836065574,-0.7308990591265746,0.39567658774951975,0,1,-0.151541,0.730899,0.151541,-0.730899,0.4016780191882075,0,1,-2.1874,0.0043688637969645505,0.03568262507016007,-2.1877,"[-0.0006377873, 0.0013816802, 0.0]","[0.3339707873, 0.3319513198, 0.0]",175.19504594802856,0.004368863833446923,0.035682625061423945
24.0,-0.1147540983606558,0.7454335054987453,0.1147540983606557,-0.7454335054987453,0.36869764103085284,0,1,-0.108754,0.745434,0.108754,-0.745434,0.361350576265616,0,1,-2.1682,0.0013227489108134094,0.044119931808584756,-2.1684,"[-0.0001785521, 0.0004531982, 0.0]","[0.3335115521, 0.3328798018, 0.0]",174.79882192611694,0.0013227489336968823,0.04411993182824858
26.0,-0.04918032786885251,0.7600682575164248,0.04918032786885246,-0.7600682575164248,0.3287389547624994,0,1,-0.02118,0.772068,0.02118,-0.772068,0.3403249814591945,0,1,-2.3153,0.0022065058501827828,0.0026325521429568788,-2.3156,"[0.000111559, -0.000140724, 0.0]","[0.333221441, 0.333473724, 0.0]",177.28663206100464,0.002206506400295627,0.002632552325312787
26.3,-0.03278688524590168,0.7497758110141046,0.03278688524590164,-0.7497758110141046,0.29973068529996666,0,1,-0.010787,0.779776,0.010787,-0.779776,0.35312977818477437,0,1,-2.3518,0.00019946875579668344,0.0007167755202934778,-2.352,"[0.0001222304, -0.0001703743, 0.0]","[0.3332107696, 0.3335033743, 0.0]",176.73762845993042,0.00019946880976107195,0.000716775460971153
26.4,-0.03278688524590168,0.750498913925479,0.03278688524590164,-0.750498913925479,0.3009387840801847,0,1,-0.030787,0.748499,0.030787,-0.748499,0.29617904676985046,0,1,-2.3642,0.00035916015273862456,0.01851471849245323,-2.3642,"[0.000122, -0.00017, 0.0]","[0.333211, 0.333503, 0.0]",166.9573633670807,0.00035915983483425507,0.018514718332386604
26.5,-0.03278688524590168,0.7512222663650567,0.03278688524590164,-0.7512222663650567,0.3021475416705955,0,1,0.005213,0.743222,-0.005213,-0.743222,0.2791403693163467,0,1,-2.3765,0.0006198863405453281,0.03593309278052814,-2.3765,"[0.000122, -0.00017, 0.0]","[0.333211, 0.333503, 0.0]",167.58147048950195,0.000619885212060467,0.03593309268476652
26.7,0.01639344262295082,0.7401252186569427,-0.01639344262295084,-0.7401252186569427,0.27430172639440326,0,1,0.020393,0.744125,-0.020393,-0.744125,0.28328620324946563,0,1,-2.4013,0.00013083547403702767,0.04659031029603833,-2.4013,"[0.000122, -0.00017, 0.0]","[0.333211, 0.333503, 0.0]",167.13154864311218,0.00013083541166736268,0.04659031186377538
27.0,-0.01639344262295084,0.7422620567241219,0.01639344262295082,-0.7422620567241219,0.27792379474501977,0,1,-0.046393,0.752262,0.046393,-0.752262,0.3101856755978997,0,1,-2.4386,0.0003339773041082239,0.005923596927869035,-2.4386,"[0.000122, -0.00017, 0.0]","[0.333211, 0.333503, 0.0]",169.17753291130066,0.00033397790481615175,0.005923596820298638
28.0,-0.06557377049180324,0.76210265084902,0.06557377049180328,-0.76210265084902,0.33989419841761165,0,1,-0.065574,0.762103,0.065574,-0.762103,0.3398950197553348,0,1,-2.5657,0.00042144879091132736,0.00041253748105107846,-2.5657,"[4.808e-05, -2.14063e-05, 0.0]","[0.33328492, 0.3333544063, 0.0]",170.87545943260193,0.0004214471050740798,0.0004125366810820985
